City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Jaguarari,BR,89.13,clear sky,-10.2639,-40.1958,Hotel Quintal De Casa
3,Hilo,US,73.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
10,Chuy,UY,75.15,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
16,Matiguas,NI,77.0,scattered clouds,12.8373,-85.4622,Hotel Bethel
17,Rikitea,PF,79.12,light rain,-23.1203,-134.9692,Pension Maro'i
18,Rosario,AR,73.4,broken clouds,-32.9468,-60.6393,Holiday Inn Rosario
22,Samarai,PG,83.08,overcast clouds,-10.6167,150.6667,Nuli Sapi
23,Kattivakkam,IN,82.4,broken clouds,13.2167,80.3167,Raj's villa
25,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Mahebourg,MU,75.2,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
36,Garoua Boulai,CM,76.71,scattered clouds,5.8833,14.55,Motel l'as Vegas
39,Hambantota,LK,77.0,broken clouds,6.1241,81.1185,Bungalow 63
43,Pacific Grove,US,70.0,clear sky,36.6177,-121.9166,Lovers Point Inn
44,Sao Filipe,CV,71.44,clear sky,14.8961,-24.4956,Tortuga B&B
49,Port-Gentil,GA,82.4,few clouds,-0.7193,8.7815,Fengshui Residence
53,Saint-Pierre,RE,77.0,light rain,-21.3393,55.4781,Lindsey Hôtel
54,Maumere,ID,79.99,broken clouds,-8.6199,122.2111,Sylvia Hotel
56,Kulhudhuffushi,MV,83.03,overcast clouds,6.6221,73.07,Haajy Guest House 1
60,Avarua,CK,80.6,overcast clouds,-21.2078,-159.775,Paradise Inn
61,Cobija,BO,89.6,broken clouds,-11.0267,-68.7692,Hotel Obelisco
62,Antofagasta,CL,72.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
64,Georgetown,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
65,Vanimo,PG,77.34,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
68,Vila Velha,BR,84.2,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
72,Tambun,ID,80.01,mist,-6.2641,107.0712,@HOM Premiere Tambun
73,Cabo San Lucas,MX,78.01,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
75,Kapaa,US,73.4,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
82,Pyapon,MM,80.58,scattered clouds,16.2833,95.6833,Aung Naing Thu Motel
83,Tucurui,BR,84.61,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
86,Hithadhoo,MV,84.25,overcast clouds,-0.6,73.0833,Scoop Guest House
90,Isabela,PH,78.8,moderate rain,6.7085,121.9711,Isawad Resort
91,Atuona,PF,80.33,light rain,-9.8,-139.0333,Villa Enata
93,Lahat,ID,73.47,moderate rain,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
97,Charleston,US,87.8,haze,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
99,Sambava,MG,78.49,moderate rain,-14.2667,50.1667,Melrose
100,Kudahuvadhoo,MV,80.76,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
101,Mecca,SA,74.16,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
104,Namatanai,PG,78.93,light rain,-3.6667,152.4333,Namatanai Hotel
106,Placido De Castro,BR,88.2,scattered clouds,-10.3353,-67.1856,Hotel Carioca
107,Victoria,HK,73.99,few clouds,22.2855,114.1577,Mini Hotel Central
111,Samut Sakhon,TH,84.99,scattered clouds,13.5833,100.3,Taweesuk Residence
112,Santiago Del Estero,AR,77.86,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
115,Bengkulu,ID,76.28,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
116,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
119,Lazaro Cardenas,MX,82.76,clear sky,17.9583,-102.2,Hotel Quinta Antigua
126,Lorengau,PG,81.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
128,Maunabo,PR,82.99,clear sky,18.0072,-65.8993,Maunacaribe
130,Saint-Philippe,RE,77.0,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
137,Saint-Joseph,RE,77.0,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
139,Cidreira,BR,77.65,light rain,-30.1811,-50.2056,Hotel Castelo
144,Sinnamary,GF,80.8,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
146,Kahului,US,75.2,few clouds,20.8947,-156.47,Maui Seaside Hotel
147,Jasper,US,73.0,clear sky,37.2001,-94.3502,Guest House Motel
148,Kefamenanu,ID,71.19,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
151,Butaritari,KI,81.16,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
160,Kavieng,PG,81.07,moderate rain,-2.5744,150.7967,Nusa Island Retreat
162,Pitimbu,BR,86.0,few clouds,-7.4706,-34.8086,Reserva do Abiaí
163,Tura,IN,72.86,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
164,Pisco,PE,72.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
165,Dhidhdhoo,MV,83.39,overcast clouds,6.8833,73.1,Dhidhoo beach
