City_ID,City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp,Current Description
0,Gat,31.61,34.7642,24,7,4.45,IL,2021-03-27 18:21:15,57.99,clear sky
1,Barrow,71.2906,-156.7887,91,1,3.44,US,2021-03-27 18:20:47,-16.6,clear sky
2,Jaguarari,-10.2639,-40.1958,29,5,9.15,BR,2021-03-27 18:23:48,89.13,clear sky
3,Hilo,19.7297,-155.09,60,40,5.75,US,2021-03-27 18:20:54,73.4,light rain
4,Ushuaia,-54.8,-68.3,67,75,20.71,AR,2021-03-27 18:20:44,57.2,light intensity drizzle
5,Flin Flon,54.7682,-101.865,42,40,11.5,CA,2021-03-27 18:22:54,24.8,scattered clouds
6,Thompson,55.7435,-97.8558,58,75,13.8,CA,2021-03-27 18:17:54,21.2,broken clouds
7,Arraial Do Cabo,-22.9661,-42.0278,70,0,16.11,BR,2021-03-27 18:14:37,95.0,clear sky
8,Punta Arenas,-53.15,-70.9167,48,40,20.71,CL,2021-03-27 18:18:03,66.2,scattered clouds
9,Blagoyevo,63.3667,47.9167,97,14,2.42,RU,2021-03-27 18:23:49,15.84,few clouds
10,Chuy,-33.6971,-53.4616,80,91,2.17,UY,2021-03-27 18:22:00,75.15,overcast clouds
11,Bredasdorp,-34.5322,20.0403,59,91,2.3,ZA,2021-03-27 18:17:05,62.6,overcast clouds
12,Mataura,-46.1927,168.8643,93,60,1.97,NZ,2021-03-27 18:16:51,55.99,broken clouds
13,Salcininkai,54.3,25.3833,53,0,10.36,LT,2021-03-27 18:23:49,50.0,clear sky
14,Torbay,47.6666,-52.7314,100,90,27.63,CA,2021-03-27 18:21:34,30.0,heavy snow
15,Dustlik,40.5247,68.0358,91,95,7.43,UZ,2021-03-27 18:23:49,55.74,light rain
16,Matiguas,12.8373,-85.4622,57,40,6.91,NI,2021-03-27 18:23:50,77.0,scattered clouds
17,Rikitea,-23.1203,-134.9692,72,19,20.09,PF,2021-03-27 18:15:45,79.12,light rain
18,Rosario,-32.9468,-60.6393,60,75,9.22,AR,2021-03-27 18:23:50,73.4,broken clouds
19,Margate,51.3813,1.3862,59,92,4.0,GB,2021-03-27 18:21:46,48.99,overcast clouds
20,Kiama,-34.6833,150.8667,87,32,1.99,AU,2021-03-27 18:23:50,63.0,scattered clouds
21,Tasiilaq,65.6145,-37.6368,57,90,26.46,GL,2021-03-27 18:17:12,15.8,light snow
22,Samarai,-10.6167,150.6667,78,99,14.27,PG,2021-03-27 18:17:07,83.08,overcast clouds
23,Kattivakkam,13.2167,80.3167,74,75,4.61,IN,2021-03-27 18:23:51,82.4,broken clouds
24,Jalu,29.0331,21.5482,31,0,9.35,LY,2021-03-27 18:16:55,60.31,clear sky
25,Puerto Ayora,-0.7393,-90.3518,74,20,11.5,EC,2021-03-27 18:16:52,82.4,few clouds
26,Albany,42.6001,-73.9662,44,29,1.99,US,2021-03-27 18:16:31,57.99,scattered clouds
27,Asau,46.4333,26.4,44,8,4.97,RO,2021-03-27 18:23:51,44.01,clear sky
28,Agadez,19.75,10.25,14,0,9.66,NE,2021-03-27 18:23:51,72.21,clear sky
29,Leningradskiy,69.3833,178.4167,91,20,7.02,RU,2021-03-27 18:17:28,-18.6,few clouds
30,Arman,59.7,150.1667,99,90,5.03,RU,2021-03-27 18:19:46,-5.3,overcast clouds
31,Necochea,-38.5473,-58.7368,67,79,7.0,AR,2021-03-27 18:21:36,66.99,broken clouds
32,Praia Da Vitoria,38.7333,-27.0667,82,75,3.13,PT,2021-03-27 18:18:23,60.8,broken clouds
33,Mahebourg,-20.4081,57.7,94,75,6.91,MU,2021-03-27 18:16:20,75.2,broken clouds
34,Lompoc,34.6391,-120.4579,39,20,3.71,US,2021-03-27 18:17:47,69.01,few clouds
35,Kuusamo,65.9667,29.1833,81,40,10.36,FI,2021-03-27 18:23:52,37.4,scattered clouds
36,Garoua Boulai,5.8833,14.55,48,28,5.73,CM,2021-03-27 18:23:52,76.71,scattered clouds
37,Nogales,31.3086,-110.9422,36,1,5.75,MX,2021-03-27 18:23:52,60.01,clear sky
38,Tres Arroyos,-38.3739,-60.2798,43,93,16.49,AR,2021-03-27 18:21:54,69.8,overcast clouds
39,Hambantota,6.1241,81.1185,100,75,2.3,LK,2021-03-27 18:23:51,77.0,broken clouds
40,Loknya,56.83,30.1467,87,44,5.66,RU,2021-03-27 18:23:52,37.94,scattered clouds
41,Kulu,39.0951,33.0799,62,68,5.23,TR,2021-03-27 18:23:53,38.01,broken clouds
42,Qaanaaq,77.484,-69.3632,75,100,3.85,GL,2021-03-27 18:16:22,-6.84,overcast clouds
43,Pacific Grove,36.6177,-121.9166,32,1,4.61,US,2021-03-27 18:23:25,70.0,clear sky
44,Sao Filipe,14.8961,-24.4956,70,2,20.76,CV,2021-03-27 18:20:47,71.44,clear sky
45,Ribeira Grande,38.5167,-28.7,82,40,12.66,PT,2021-03-27 18:21:12,64.4,scattered clouds
46,Port Elizabeth,-33.918,25.5701,77,0,11.5,ZA,2021-03-27 18:20:50,62.6,clear sky
47,Husavik,66.0449,-17.3389,45,0,9.22,IS,2021-03-27 18:22:03,19.4,clear sky
48,Luderitz,-26.6481,15.1594,71,0,19.91,NA,2021-03-27 18:21:27,66.96,clear sky
49,Port-Gentil,-0.7193,8.7815,78,20,5.75,GA,2021-03-27 18:19:13,82.4,few clouds
